Feature,Importance
maximum_delay_months,0.1255845816051685
pay_0,0.1041330612663824
delayed_payment_count,0.0966984198548322
has_payment_delay,0.0898751180181575
pay_2,0.0530640458927551
credit_utilisation_ratio,0.0351704347464937
average_payment_amount,0.030229341337862
payment_to_bill_ratio,0.029974361679704
total_payment_amount,0.028108444512938
limit_bal,0.0280788472663297
bill_amt1,0.0257638386129967
pay_3,0.0255291867341514
pay_amt2,0.0239497808248208
pay_amt1,0.0236484980239597
total_bill_amount,0.0232014409986152
average_bill_amount,0.0228635426635366
pay_amt3,0.0197409544496592
bill_amt2,0.0191288421935672
bill_amt5,0.0182651163295734
pay_4,0.0181437135770034
bill_amt3,0.0178254244993804
bill_amt4,0.0175953532018451
age,0.0172309117994122
pay_amt6,0.0170536348830423
bill_amt6,0.0161969222706707
pay_amt4,0.0161437755142476
pay_6,0.0152292693201541
pay_amt5,0.0150649877104432
pay_5,0.0148490452268175
education,0.0058341529765209
sex,0.0029520259944843
marriage,0.0028729260144737
