ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month
C00001,500000,1,3,3,48,3,1,0,-2,1,2,11938,37841,27192,86188,99657,139487,14489,5569,10478,44243,41605,26614,0
C00002,120000,1,4,1,22,-1,-2,3,-1,-1,3,166267,70640,1062,4748,142047,112816,49401,4300,45162,6168,117,36258,0
C00003,200000,1,3,2,62,2,-1,3,3,3,2,91680,196582,84076,140507,11023,128778,43125,39037,19262,42563,46685,28253,0
C00004,500000,1,4,1,26,1,-2,3,-1,3,0,4000,165983,89780,3709,21447,62292,49922,36586,4432,7561,18935,42078,0
C00005,80000,1,2,3,48,-1,3,3,0,0,1,101042,190103,152617,123961,125899,23833,28538,12015,29721,8258,47077,40752,0
C00006,200000,1,3,3,48,3,1,3,3,1,-1,93610,138429,21689,30355,23959,135230,32049,45002,13568,16616,13234,17988,0
C00007,200000,2,4,2,64,1,2,3,-1,2,0,103691,163551,11174,186843,66203,193752,37131,6254,14178,26734,38328,31037,0
C00008,500000,2,1,1,64,0,2,2,3,-2,2,38304,61476,88461,188871,119156,20309,42944,17144,22195,6371,846,12219,0
C00009,50000,1,2,3,40,0,0,0,-1,2,3,69449,44811,126174,144188,160775,6970,8427,24214,302,26069,10954,235,0
C00010,80000,2,4,2,50,-2,-2,3,0,1,-2,82986,167280,103033,156542,9337,72474,41348,40118,17022,14369,13703,42929,0
C00011,500000,2,1,3,31,3,-2,0,-1,1,2,151836,151222,9348,173416,46427,46540,24285,15183,55,12910,48153,1908,0
C00012,80000,2,4,3,48,2,0,0,-1,1,3,108940,71180,154786,42918,61529,151456,37626,6238,45781,7943,46514,8567,1
C00013,80000,2,1,1,45,1,0,-1,-1,2,1,38494,174358,38102,52224,102023,18017,42808,6090,8717,12199,22700,36298,0
C00014,200000,1,2,3,59,-1,0,2,-2,1,2,3373,112856,74460,39298,84665,75880,22928,11637,28699,15728,32043,5256,0
C00015,120000,2,3,1,53,3,1,3,-2,3,-2,143233,68450,102634,80219,105787,105570,19198,22415,8150,23275,6469,19019,0
C00016,80000,1,1,3,21,3,3,-2,-2,2,3,97532,152424,89930,61629,162993,8702,19758,24071,2125,6738,30105,8162,1
C00017,300000,2,4,2,47,0,-2,1,0,1,3,92658,186141,6801,66040,33307,131456,15254,45415,44247,15913,42101,5415,0
C00018,200000,2,2,3,33,-2,1,-2,3,3,3,123633,111888,103150,28016,158427,404,44238,42679,48513,35240,26386,36159,0
C00019,50000,2,1,1,61,-2,0,2,2,0,1,100386,110448,179208,23960,127016,172015,1252,41240,16748,19123,49376,43925,0
C00020,120000,1,4,1,23,1,-2,1,-1,1,2,27350,14397,154697,33591,4835,178998,39764,18271,39577,48447,45587,5951,0
C00021,300000,2,4,2,59,0,1,2,-1,2,1,93008,172627,175333,103333,20159,160261,12173,36034,4621,34529,36976,21852,0
C00022,300000,1,4,3,26,3,3,0,0,-1,-1,94297,178031,1542,114821,178677,12763,37441,33434,15034,10167,39051,8007,0
C00023,50000,2,1,3,28,2,1,1,-1,1,-1,25351,131800,21677,198713,121790,149456,26698,4188,46391,10554,2048,41832,0
C00024,120000,1,1,2,47,0,3,0,-2,-1,2,88668,181589,177804,36395,105616,191172,15781,49823,5126,17260,39001,30523,0
C00025,200000,2,1,3,29,1,0,-2,2,3,1,114585,119180,181415,129695,169160,98142,13051,10161,5122,47045,12941,23325,0
C00026,20000,1,3,3,57,1,3,-2,1,0,-2,146377,66234,39081,153772,78752,140932,39649,28732,18030,3812,45375,21204,0
C00027,120000,1,1,1,53,0,-2,1,-1,-2,3,75353,39954,193928,34620,55284,80642,6949,11314,17302,28024,42533,15524,0
C00028,50000,2,1,3,62,1,0,1,-2,0,3,65953,178352,93105,128148,57043,50612,42289,23954,19181,27285,1828,19282,0
C00029,300000,1,1,3,64,0,-2,3,1,1,2,57458,79459,19065,20559,166619,23574,8017,21508,38638,26900,1917,23930,0
C00030,200000,2,3,2,44,-1,2,2,2,-1,-1,20358,147851,88092,93396,97007,23524,6941,21969,1531,1605,20618,77,0
C00031,120000,2,1,2,35,0,-1,3,1,-1,-1,3267,195004,54693,192714,82844,10916,25934,45659,40940,5622,32254,40345,0
C00032,20000,2,4,1,52,0,3,2,-2,2,3,82745,155538,26962,21732,27532,4809,23386,37545,40441,6767,39756,20611,0
C00033,20000,2,1,3,52,1,-1,3,3,-1,2,89588,168011,28295,91362,165421,163273,10209,36668,23333,27139,47362,16984,0
C00034,80000,2,4,3,44,1,-1,0,3,2,1,38513,166342,13807,161426,122402,184402,17715,23061,39650,11613,20128,14060,0
C00035,80000,2,4,3,61,-2,3,1,1,3,-1,157164,59163,173420,13843,118012,144528,28920,13716,34674,10589,45745,17449,0
C00036,500000,2,4,1,32,-2,0,-2,0,-2,1,11338,51934,157504,114065,176517,187469,31703,39749,35854,13918,9,18520,0
C00037,50000,2,3,1,59,-1,2,2,1,1,-1,131484,195967,188926,71726,136785,121288,42318,39144,46271,20119,16644,43303,0
C00038,120000,2,3,2,22,-2,-2,2,-1,2,-1,7543,163379,171334,17640,56178,38765,4637,16907,8152,27446,22422,9510,0
C00039,120000,2,3,1,23,0,1,-2,-1,-2,0,105891,54098,168152,52528,49407,165888,4854,18777,38518,13046,9865,29287,0
C00040,500000,2,1,3,57,1,-2,3,3,-1,-1,164568,191993,132396,38413,50990,45106,43088,27693,45540,24818,2219,28173,1
C00041,300000,1,4,3,37,-2,1,2,0,-1,-2,60692,5486,91267,52638,129473,53932,37660,42928,10267,35358,39809,39711,1
C00042,300000,1,3,1,22,-2,-2,0,-2,-2,2,44425,139407,166981,183808,196617,148172,39811,26329,25289,4324,5287,11954,0
C00043,500000,2,3,3,22,-1,3,1,-1,-1,2,38756,86900,19870,110133,58141,57091,49289,46892,1062,10787,34387,7804,0
C00044,300000,2,1,3,48,3,2,-2,3,3,1,18888,126020,165650,106357,154865,21949,19856,16282,29926,9111,8512,6565,0
C00045,80000,2,3,1,43,-1,1,1,2,3,-1,166807,102795,26790,199938,56570,37744,21833,23624,6229,38110,1342,5984,0
C00046,120000,2,1,1,57,0,0,2,3,-2,-2,47295,142202,118874,150159,168964,176615,19963,23321,49277,16389,43336,21526,0
C00047,500000,2,2,3,52,1,-2,2,-1,2,1,114352,87508,25289,172502,1015,108319,36932,10488,47915,41427,19216,37438,1
C00048,120000,2,3,3,53,-1,-2,-2,-1,2,0,83042,118324,186201,155576,61813,92193,27169,22574,4632,14043,27534,18574,0
C00049,20000,2,2,3,21,-2,1,0,3,-2,1,85999,60566,15485,138186,27712,36187,7941,5240,39056,28746,14231,9184,0
C00050,80000,2,1,2,39,1,0,-1,-2,2,1,17955,197775,44482,78859,100497,138311,14388,43221,3596,22350,32293,19096,0
