Feature,Importance
maximum_delay_months,0.12558458160516855
pay_0,0.10413306126638243
delayed_payment_count,0.0966984198548322
has_payment_delay,0.08987511801815751
pay_2,0.05306404589275512
credit_utilisation_ratio,0.035170434746493756
average_payment_amount,0.03022934133786201
payment_to_bill_ratio,0.029974361679704024
total_payment_amount,0.02810844451293806
limit_bal,0.02807884726632971
bill_amt1,0.025763838612996793
pay_3,0.025529186734151416
pay_amt2,0.023949780824820806
pay_amt1,0.02364849802395977
total_bill_amount,0.02320144099861527
average_bill_amount,0.022863542663536667
pay_amt3,0.019740954449659207
bill_amt2,0.019128842193567294
bill_amt5,0.01826511632957347
pay_4,0.018143713577003496
bill_amt3,0.017825424499380467
bill_amt4,0.017595353201845187
age,0.01723091179941221
pay_amt6,0.017053634883042373
bill_amt6,0.016196922270670742
pay_amt4,0.016143775514247637
pay_6,0.015229269320154148
pay_amt5,0.015064987710443211
pay_5,0.014849045226817539
education,0.005834152976520949
sex,0.0029520259944843625
marriage,0.0028729260144737295
