Feature,Coefficient
delayed_payment_count,0.7202840075600045
has_payment_delay,0.2166303570686475
pay_0,0.17679817128918263
bill_amt2,0.12039974763544398
credit_utilisation_ratio,0.08866970084310596
maximum_delay_months,0.07830327961161965
bill_amt3,0.07100200368144692
age,0.049063715905191894
bill_amt4,0.0396308283434304
pay_amt5,0.031059743316676575
pay_amt3,0.01625685090123596
pay_amt4,0.012268067667923781
average_bill_amount,0.011324366956758668
total_bill_amount,0.011324314809405081
pay_amt6,0.008180528748901373
payment_to_bill_ratio,-0.029037091814810796
bill_amt5,-0.031520679636671226
education,-0.04606650977856928
average_payment_amount,-0.04654653280466861
total_payment_amount,-0.046546769409206275
bill_amt1,-0.0596959118850698
pay_4,-0.06131299370390427
sex,-0.07067622603487668
marriage,-0.07115041540958965
pay_2,-0.08104581793829348
pay_5,-0.08693907880725936
bill_amt6,-0.09008617568051418
pay_amt2,-0.09450043438583229
pay_3,-0.10085093712318198
pay_6,-0.11554582555363746
pay_amt1,-0.11890194741487725
limit_bal,-0.23145600721337473
